text,score,score_chr
 You and your experts are the ones acting in bad Covid Theater Ron. Stop it.,-1,Negative
" My Granddaughter daughter and son in law are all still struggling after 10 days Covid is still a big problem,  hope you feel better soon.  Stay safe everyone ",0,Neutral
  Kemp was fairly aggressive early on Covid pandemic put a big dent in his agenda in its second year.,-1,Negative
Suddenly Russia has become too great a challenge for US than Covid,1,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Just had the 5yo vaccinated Covid II. Feeling strangely proud. He himself couldn't care less.,0,Neutral
"Covid was mostly bullshitNow, this Ukraine ""war"" is also mostly bullshit.Wake up!",0,Neutral
"Is the format the same as the mens?Yes. Last year, the tournament had a two-pool, round-robin format to reduce the number of games and the likelihood of Covid infections. This year, the tournament has returned to the traditional 15-game, five-round structure ",-1,Negative
"There will be 10000 empty seats at the Principality Stadium on Friday as perfect storm’ of high prices, late kick-off time and Covid concerns leave Welsh Rugby union counting cost of six-figure shortfall   ✍️  ",0,Neutral
Amplify authors  and James DellaNeve are in the process of finishing their book about Gen Z and the future workforce after COVID19.  recently discussed their research and gives an early look at what their book is going to discuss.  ,0,Neutral
Poignant park memorial to be created to commemorate Walsall people lost to Covid,0,Neutral
next person i see saying covid restrictions are being pulled too early i’m going to smack �,-1,Negative
" Why should she  look after the vulnerableYou're safe? - yesIf you're trying to catch me out with some gotcha moment that I can still catch covid after being vaccinated, everyone knows that. I don't know how you can function in life if you're that simple minded.",1,Positive
"When did we become a nation so careless of grief that doesnt touch us directly Three percent of Americans have lost a grandparent, parent, child, aunt, uncle, cousin to death from COVID. ",-4,Negative
From  Researcher finds 'stunning' rate of COVID among deer. Here's what it means for humans  ,1,Positive
 I have covid works for me.,1,Positive
 I got them and got Covid  they dont work!!!! Speak for yourself and quit acting like your a doctor (jackass),2,Positive
 thank u buddy  unfortunately it's so competitive and covid took away so many research opportunities for me. resting in peace as we speak �,2,Positive
" Reminds me of clapping for the  staff during Covid  Lots of clapping, very little action… MPs get a £2k pay rise and get let off with £9bn of dodgy PPE deals NHS staff get almost nothing.  Ukraine gets a clap and effectively closed borders…   ",1,Positive
Interesting how putin isnt worried about covid in this picture Perhaps he trusts the Saudis more than his own comrades? ,0,Neutral
"    I noticed on a bus in Malta a sign saying it had an air purification system fitted  it didnt say it was for COVID, could have been regular pollution filter - probably helps though.",0,Neutral
 Ok fuck u Hope you get scammed and shipped to China so you could be the new Test Subject for Covid-22,-1,Negative
Idiots politicians leading science decisions like  saying people are tired of Covid Like saying I’m tired of winter in January. It’s still winter. Every politician pushing alt-right death cult shite against vaxes/masks must face legal exposure for harm/death  ,-1,Negative
  By that time so many voters will die because of Covid and Fords policies,-1,Negative
 I already got Covid and dont want to get it again I will keep wearing it.,0,Neutral
"CLINIC   Make your way onto the mobile vaccine bus for your 1st 2nd or booster dose of a COVID-19 vaccine at the  Meridian Community Centre  in Pelham, Thursday, March 10, from 10 a.m. to 6 p.m.  By appointment or walk-in. While supplies last.  ",0,Neutral
  Still very very serious that he did not take covid serious He also coughed on team mates on purpose to be funny while he had covid..,-1,Negative
NEW  A newly-published study of Covid infections in Spanish kindergartners and elementary schoolchildren has shown that mask mandates did nothing to halt infection or transmission...The study looked at almost 25K infections in 599K students in fall 2021,-4,Negative
Got the best International Womens Day gift of all time yesterday when this goddess of a retired teacher who was subbing for my baby students told me I had a wonderful disposition” with the kids and that my enthusiasm for books was “covid-level contagious”�❤️‍�,2,Positive
" Your daily  updates amp stats are much appreciated ! You mentioned you will no longer be posting provincial numbers after March 12, due to new commitments; totally understoodCan U pls share your source for positivity rates for ON? I'd like to keep on eye on this",2,Positive
  Oh hey is that dumbass David saying COVID is over again Maybe the 14th time will be the charm!!,1,Positive
 The war kicked COVID out entirely Putin and Zelensky made it happen. now end the war pls human beings are dying,-1,Negative
 Think covid is on a break while this war is going on but knowing our pathectic english gorverment once its over a new varient will suddenly appear,-1,Negative
     Both issues bring up the Niger delta as a case study Seems like they have a poverty issue regardless of oil being there. IE government is the issue - look to them for human rights violations before you look at oil. This is much like dying with covid or from covid,-3,Negative
�Seems western media is about to leave Ukrainians for Covid-19 ,0,Neutral
" Biden passed one shortterm Covid relief bill and nothing substantial since. And they fucked up Covid management to boot. It's astounding.The much touted bipartisan infrastructure bill only contained about $55B of new funding on an annual basis, a huge ""nothing burger.""",0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
   What about the poor kids who have had support  cut from their classrooms What about the poor kids on the OAP who struggle in school.becsuse they can not access early intervention. Or the poor kid who brings.covid home to elderly?? ,-3,Negative
 you present no evidence to back up this claim besides some screenshots of the NYT covid tracker make broad statements of correlation and then accuse me of being biased and/or partisan in what data I choose to believe. and then you tossed in some anecdotal stories to boot.,-3,Negative
 you admit to being for masking and vax requirements in November but then after Biden did his winter of death pivot you suddenly do a 180 and say actually masks are pointless and covid doesn't cause brain damage but even if it does it's only mild brain damage and not permanent.,-4,Negative
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
"So, somebody is making money out of this tragedy.. Just as they did with Covid. Scotland... We have to remove ourselves from this incompetent, farcical, corrupt, unfeeling Government ",-5,Very Negative
  What you want to do is look at the rates of death for vaccinated population vs unvaccinated population ,-1,Negative
Two irresponsible idiots highlighted here the one with Covid and the Prime Minister. ,-2,Negative
People across Bradford district and Craven are being reminded that Covid19 safety precautions continue to apply in healthcare settings – such as hospitals and GP practices,-1,Negative
Have any other  found the pressures of the job even harder to cope with since returning from having covid Its like my brain just won’t work properly… surely I’m not the only one?,3,Positive
  I didnt realise Scotland was the only country in the world with Covid19…,0,Neutral
   Climate change is the new Covid,0,Neutral
"Fort Detrickas the birthplaceinstitutiontruth afterproblem was is authoritatively  has come I was thereof COVID- forward convinced recognized19. Finally, to tell that the  an  the  -19 ",0,Neutral
"Fort Detrickas the birthplaceinstitutiontruth afterproblem was is authoritatively  has come I was thereof COVID- forward convinced recognized19. Finally, to tell that the  an  the  -19 ",0,Neutral
"Fort Detrickas the birthplaceinstitutiontruth afterproblem was is authoritatively  has come I was thereof COVID- forward convinced recognized19. Finally, to tell that the  an  the  -19 ",0,Neutral
"Fort Detrickas the birthplaceinstitutiontruth afterproblem was is authoritatively  has come I was thereof COVID- forward convinced recognized19. Finally, to tell that the  an  the  -19 ",0,Neutral
 So People also caught colds and flu before covid was a thing and a media play thing wake up bed wetter,0,Neutral
Brendoncare was featured on  at lunchtime discussing our view on the current Covid guidelines for care homesYou can watch this important news story below or catch us on BBC South Today again at 6:30pm tonight! �Watch from 02:37 �,1,Positive
